Comparison Chrm Bin Mean STDev SEM
FST_C_M chrZ 4 0.0155541926376 0.0331258496524 0.0331258496524
FST_C_M chrZ 5 -0.266983324031 0.0849633371877 0.0117822949525
FST_C_M chrZ 6 0.125229452601 0.0718070333998 0.0185404962999
FST_C_M chr13 0 1.82661095164 0.189854551229 0.134247440613
FST_C_M chr13 4 -0.0221202724265 0.0940905976797 0.0313635325599
FST_C_M chr13 5 -0.0243322232891 0.0513428245247 0.00922144350566
FST_C_M chr13 6 0.0890417180714 0.0765661256608 0.0150158526471
FST_C_M chr13 7 -0.299518528603 0.334510850592 0.118267445417
FST_C_M chr12 0 2.02592606083 0.045996227189 0.045996227189
FST_C_M chr12 4 0.117122060944 0.0434226784159 0.0307044703651
FST_C_M chr12 5 0.0795129222818 0.0831304373202 0.00886173439381
FST_C_M chr12 6 0.339688806573 0.060091275785 0.00603940045311
FST_C_M chr12 7 -1.62770338675 0.306317209606 0.0600737472742
FST_C_M chr11 0 0.260034146278 0.0 nan
FST_C_M chr11 4 0.0157559571912 0.0 nan
FST_C_M chr11 5 0.0329942460257 0.0587983858761 0.0195994619587
FST_C_M chr11 6 -0.000814098268544 0.0148822760878 0.00241422397662
FST_C_M chr10 0 1.61998192092 0.464447247129 0.464447247129
FST_C_M chr10 4 -0.0155095109746 0.0264333835928 0.0152613211329
FST_C_M chr10 5 -0.0666824402569 0.0837934045066 0.00842155401985
FST_C_M chr10 6 -0.296047268749 0.113040208156 0.0168510393086
FST_C_M chr10 7 0.638763602745 0.409948200553 0.113699173644
FST_C_M chr17 0 1.97735215833 0.0 nan
FST_C_M chr17 4 0.00211580944398 0.055547430478 0.027773715239
FST_C_M chr17 5 -0.0104914071023 0.139650573834 0.0164579779592
FST_C_M chr17 6 -0.0153440496261 0.0949689891406 0.0152072088998
FST_C_M chr17 7 -0.780847565669 0.714437484769 0.159753078162
FST_C_M chr16 4 0.00363054843068 0.156871868665 0.0640426722046
FST_C_M chr16 5 0.24752037094 0.136824422294 0.048374738418
FST_C_M chr16 6 -0.0890300773121 0.0433685620237 0.0108421405059
FST_C_M chr15 0 0.236609652362 0.0 nan
FST_C_M chr15 4 0.0506176960232 0.151370232311 0.0535174588683
FST_C_M chr15 5 -0.142090294737 0.0552417741249 0.0142633647467
FST_C_M chr15 6 0.0376382432667 0.0147681087856 0.00279091022725
FST_C_M chr14 5 -0.0409667528084 0.168764117935 0.0487180044595
FST_C_M chr14 6 0.0315295246258 0.0548234028872 0.0119634473136
FST_C_M chr19 0 1.96579602504 0.0656973523173 0.0379303840454
FST_C_M chr19 4 -0.0406910945792 0.0 nan
FST_C_M chr19 5 -0.0816173666498 0.0358798360606 0.00717596721213
FST_C_M chr19 6 -0.180236427738 0.0913497656272 0.0111601501087
FST_C_M chr19 7 0.308167325398 0.263541775228 0.0730933372162
FST_C_M chr18 0 0.934043674245 0.685044135424 0.48439935357
FST_C_M chr18 4 -0.068766721686 0.0687561094054 0.0396963582736
FST_C_M chr18 5 0.286198594284 0.120475598803 0.0216380563099
FST_C_M chr18 6 -0.0422479929027 0.175155212687 0.025022173241
FST_C_M chr18 7 -0.635351520978 0.348893518327 0.100716883362
FST_C_M chr9 4 0.205489503782 0.146952427288 0.0657191233751
FST_C_M chr9 5 0.183343740432 0.0939929824749 0.0355260080877
