Pair Chrm Bin Count Mean STDev SEM
FST_C_M chrZ 5.5 4 0.0620855294215 0.0159184597328 0.00919052701181
FST_C_M chrZ 6.5 1 -0.65250618134 0.0 nan
FST_C_M chrZ 5.0 3 -0.0767670875179 0.0788895442531 0.0557833317061
FST_C_M chrZ 4.75 2 -0.169599624161 0.0110533843692 0.0110533843692
FST_C_M chrZ 6.0 33 -0.344640979337 0.425726935039 0.075258600675
FST_C_M chrZ 5.75 18 0.175653103342 0.15415954333 0.037389181197
FST_C_M chrZ 6.25 4 -0.106622491357 0.0458375455213 0.0264643192457
FST_C_M chrZ 5.25 11 -0.139471111689 0.0902202141593 0.0285301367732
FST_C_M chr13 5.5 14 0.00746514346087 0.0943523098276 0.0261686223878
FST_C_M chr13 6.5 9 0.132937360969 0.12876168566 0.0455241305434
FST_C_M chr13 6.75 80 -0.229962211226 0.0720815574723 0.00810980881919
FST_C_M chr13 5.0 3 0.047155638763 0.0774706741195 0.054780039013
FST_C_M chr13 5.25 1 0.0367452747267 0.0 nan
FST_C_M chr13 7.0 9 -0.268438518447 0.156580985012 0.0553597381534
FST_C_M chr13 0.0 1 2.10110143137 0.0 nan
FST_C_M chr13 4.5 3 0.105174494159 0.0354218893 0.0250470581265
FST_C_M chr13 6.0 24 -0.178670708824 0.126790568283 0.0264376610534
FST_C_M chr13 5.75 14 -0.025013493031 0.0828505647667 0.0229786122667
FST_C_M chr13 6.25 9 0.0587023389495 0.0529733567983 0.0187289099072
FST_C_M chr13 4.75 51 0.0222007257059 0.19534407466 0.0276258239713
FST_C_M chr12 5.5 5 0.218843011363 0.0914253474645 0.0457126737322
FST_C_M chr12 6.5 37 0.159312121237 0.131752229401 0.0219587049002
FST_C_M chr12 6.75 58 0.0319832143048 0.0232180273051 0.00307530284328
FST_C_M chr12 4.0 6 0.0378656177079 0.267574648197 0.119663020485
FST_C_M chr12 5.0 8 0.0172031256149 0.0995852106852 0.0376396716762
FST_C_M chr12 6.0 54 -0.0450868518971 0.133131769838 0.0182870549844
FST_C_M chr12 7.0 54 -0.0757148186749 0.728030179894 0.100002636082
FST_C_M chr12 0.0 2 1.73931008538 0.0873490436086 0.0873490436086
